body_temperature,walking_capacity,heart_rate,health_status,temperature_above_normal,temperature_below_normal,low_walking_capacity,high_heart_rate,low_heart_rate
40.9,6132,117,unhealthy,True,False,True,True,False
38.6,10847,59,healthy,False,False,False,False,False
38.6,10961,70,healthy,False,False,False,False,False
40.4,6315,103,unhealthy,True,False,True,True,False
37.7,4600,65,unhealthy,False,False,True,False,False
38.6,10017,61,healthy,False,False,False,False,False
38.5,11342,65,healthy,False,False,False,False,False
40.8,6404,103,unhealthy,True,False,True,True,False
38.6,11156,65,healthy,False,False,False,False,False
38.3,12270,70,healthy,False,False,False,False,False
38.5,12111,67,healthy,False,False,False,False,False
36.7,5073,33,unhealthy,False,True,True,False,True
38.2,6032,68,unhealthy,False,False,True,False,False
38.6,11285,61,healthy,False,False,False,False,False
38.6,4848,68,unhealthy,False,False,True,False,False
38.5,10528,71,healthy,False,False,False,False,False
40.0,5808,94,unhealthy,True,False,True,True,False
41.2,5018,98,unhealthy,True,False,True,True,False
41.2,2664,105,unhealthy,True,False,True,True,False
34.9,5394,36,unhealthy,False,True,True,False,True
35.8,7459,32,unhealthy,False,True,True,False,True
34.6,3746,30,unhealthy,False,True,True,False,True
39.2,5154,97,unhealthy,True,False,True,True,False
38.2,11705,70,healthy,False,False,False,False,False
38.4,5671,70,unhealthy,False,False,True,False,False
40.4,6704,97,unhealthy,True,False,True,True,False
40.8,6336,101,unhealthy,True,False,True,True,False
40.1,5710,102,unhealthy,True,False,True,True,False
38.5,12301,65,healthy,False,False,False,False,False
37.4,10320,56,healthy,False,True,False,False,False
35.0,3553,38,unhealthy,False,True,True,False,True
41.0,6425,100,unhealthy,True,False,True,True,False
38.2,4499,64,unhealthy,False,False,True,False,False
38.9,11008,74,healthy,False,False,False,False,False
38.0,9732,60,healthy,False,False,False,False,False
38.0,12828,69,healthy,False,False,False,False,False
38.1,4207,73,unhealthy,False,False,True,False,False
37.8,11842,73,healthy,False,False,False,False,False
35.3,3782,44,unhealthy,False,True,True,False,True
38.4,4179,59,unhealthy,False,False,True,False,False
38.7,4274,56,unhealthy,False,False,True,False,False
40.8,7790,99,unhealthy,True,False,True,True,False
38.3,4959,65,unhealthy,False,False,True,False,False
38.3,11173,75,healthy,False,False,False,False,False
37.9,9109,61,healthy,False,False,False,False,False
38.2,11057,68,healthy,False,False,False,False,False
38.2,10624,66,healthy,False,False,False,False,False
38.9,11532,68,healthy,False,False,False,False,False
38.6,10664,72,healthy,False,False,False,False,False
38.2,12456,61,healthy,False,False,False,False,False
39.7,5984,135,unhealthy,True,False,True,True,False
38.5,5625,61,unhealthy,False,False,True,False,False
37.7,12379,70,healthy,False,False,False,False,False
38.2,4682,61,unhealthy,False,False,True,False,False
38.7,4064,53,unhealthy,False,False,True,False,False
38.6,9528,65,healthy,False,False,False,False,False
34.6,5192,41,unhealthy,False,True,True,False,True
38.0,12529,66,healthy,False,False,False,False,False
40.0,6721,97,unhealthy,True,False,True,True,False
38.0,12312,63,healthy,False,False,False,False,False
39.9,6045,105,unhealthy,True,False,True,True,False
40.5,7654,105,unhealthy,True,False,True,True,False
35.2,7432,34,unhealthy,False,True,True,False,True
38.9,4845,59,unhealthy,False,False,True,False,False
38.3,11121,60,healthy,False,False,False,False,False
38.0,5790,67,unhealthy,False,False,True,False,False
37.8,12728,58,healthy,False,False,False,False,False
35.4,5677,33,unhealthy,False,True,True,False,True
35.5,5928,32,unhealthy,False,True,True,False,True
36.3,6873,31,unhealthy,False,True,True,False,True
38.6,11886,65,healthy,False,False,False,False,False
38.1,12381,64,healthy,False,False,False,False,False
35.0,7111,35,unhealthy,False,True,True,False,True
38.2,5271,70,unhealthy,False,False,True,False,False
38.5,11272,70,healthy,False,False,False,False,False
35.4,3820,42,unhealthy,False,True,True,False,True
38.2,10935,70,healthy,False,False,False,False,False
38.7,4570,67,unhealthy,False,False,True,False,False
38.2,12523,79,healthy,False,False,False,False,False
37.8,12131,68,healthy,False,False,False,False,False
38.8,11806,73,healthy,False,False,False,False,False
40.4,5730,103,unhealthy,True,False,True,True,False
38.1,11489,70,healthy,False,False,False,False,False
41.1,5895,109,unhealthy,True,False,True,True,False
38.5,11277,72,healthy,False,False,False,False,False
38.7,9115,64,healthy,False,False,False,False,False
38.6,10100,73,healthy,False,False,False,False,False
38.8,11329,63,healthy,False,False,False,False,False
39.0,12558,62,healthy,False,False,False,False,False
40.7,5433,125,unhealthy,True,False,True,True,False
38.2,13088,63,healthy,False,False,False,False,False
38.1,5350,63,unhealthy,False,False,True,False,False
38.0,5968,67,unhealthy,False,False,True,False,False
38.1,11496,67,healthy,False,False,False,False,False
34.6,5280,38,unhealthy,False,True,True,False,True
38.4,12863,60,healthy,False,False,False,False,False
38.3,12199,70,healthy,False,False,False,False,False
35.4,6035,42,unhealthy,False,True,True,False,True
38.2,10561,71,healthy,False,False,False,False,False
41.4,5891,125,unhealthy,True,False,True,True,False
38.4,13389,69,healthy,False,False,False,False,False
40.3,4158,104,unhealthy,True,False,True,True,False
38.2,4508,65,unhealthy,False,False,True,False,False
40.6,5612,87,unhealthy,True,False,True,True,False
38.4,4956,53,unhealthy,False,False,True,False,False
38.1,5668,68,unhealthy,False,False,True,False,False
39.2,11018,75,healthy,True,False,False,False,False
38.3,12784,62,healthy,False,False,False,False,False
38.4,5882,69,unhealthy,False,False,True,False,False
40.6,5655,100,unhealthy,True,False,True,True,False
34.7,5644,39,unhealthy,False,True,True,False,True
38.4,11649,60,healthy,False,False,False,False,False
38.3,5119,55,unhealthy,False,False,True,False,False
36.1,6060,41,unhealthy,False,True,True,False,True
38.7,13656,62,healthy,False,False,False,False,False
38.5,11045,68,healthy,False,False,False,False,False
38.4,11662,71,healthy,False,False,False,False,False
38.3,5214,60,unhealthy,False,False,True,False,False
38.4,11156,59,healthy,False,False,False,False,False
38.3,10649,62,healthy,False,False,False,False,False
38.0,12891,54,healthy,False,False,False,False,False
35.5,5201,43,unhealthy,False,True,True,False,True
38.8,11534,69,healthy,False,False,False,False,False
38.0,12680,56,healthy,False,False,False,False,False
39.8,6329,103,unhealthy,True,False,True,True,False
38.0,4774,65,unhealthy,False,False,True,False,False
37.9,11515,62,healthy,False,False,False,False,False
38.2,11144,63,healthy,False,False,False,False,False
35.6,6153,30,unhealthy,False,True,True,False,True
38.2,4872,57,unhealthy,False,False,True,False,False
41.2,4497,120,unhealthy,True,False,True,True,False
40.6,7076,99,unhealthy,True,False,True,True,False
38.1,12266,67,healthy,False,False,False,False,False
38.0,9976,62,healthy,False,False,False,False,False
38.5,12447,68,healthy,False,False,False,False,False
38.0,12432,65,healthy,False,False,False,False,False
35.4,7653,45,unhealthy,False,True,True,False,False
38.1,11585,69,healthy,False,False,False,False,False
38.1,11475,62,healthy,False,False,False,False,False
38.1,11806,69,healthy,False,False,False,False,False
35.8,6372,28,unhealthy,False,True,True,False,True
38.3,10078,64,healthy,False,False,False,False,False
34.6,5934,36,unhealthy,False,True,True,False,True
38.6,10873,64,healthy,False,False,False,False,False
37.8,11608,60,healthy,False,False,False,False,False
38.7,11372,61,healthy,False,False,False,False,False
38.5,10411,66,healthy,False,False,False,False,False
39.1,11508,69,healthy,True,False,False,False,False
38.4,11118,66,healthy,False,False,False,False,False
40.5,6215,126,unhealthy,True,False,True,True,False
40.9,6521,94,unhealthy,True,False,True,True,False
36.1,6072,39,unhealthy,False,True,True,False,True
40.2,6515,95,unhealthy,True,False,True,True,False
35.9,5493,28,unhealthy,False,True,True,False,True
38.5,4848,64,unhealthy,False,False,True,False,False
38.3,13578,59,healthy,False,False,False,False,False
35.7,4771,41,unhealthy,False,True,True,False,True
35.3,6950,42,unhealthy,False,True,True,False,True
40.0,5283,105,unhealthy,True,False,True,True,False
40.1,5834,114,unhealthy,True,False,True,True,False
38.5,12372,68,healthy,False,False,False,False,False
40.9,4796,93,unhealthy,True,False,True,True,False
40.7,4874,111,unhealthy,True,False,True,True,False
41.0,6873,113,unhealthy,True,False,True,True,False
38.1,11035,65,healthy,False,False,False,False,False
37.9,12702,65,healthy,False,False,False,False,False
35.5,5922,30,unhealthy,False,True,True,False,True
38.6,11356,57,healthy,False,False,False,False,False
38.5,4536,67,unhealthy,False,False,True,False,False
41.4,5799,132,unhealthy,True,False,True,True,False
38.9,5024,62,unhealthy,False,False,True,False,False
35.7,6789,38,unhealthy,False,True,True,False,True
38.4,12852,61,healthy,False,False,False,False,False
38.1,7266,67,unhealthy,False,False,True,False,False
38.2,11073,59,healthy,False,False,False,False,False
40.0,5575,131,unhealthy,True,False,True,True,False
35.0,4841,38,unhealthy,False,True,True,False,True
40.6,5196,106,unhealthy,True,False,True,True,False
38.7,4839,67,unhealthy,False,False,True,False,False
38.2,11589,64,healthy,False,False,False,False,False
38.4,10155,65,healthy,False,False,False,False,False
38.3,12582,59,healthy,False,False,False,False,False
35.4,5552,34,unhealthy,False,True,True,False,True
38.2,5046,72,unhealthy,False,False,True,False,False
38.4,5443,66,unhealthy,False,False,True,False,False
38.1,10412,69,healthy,False,False,False,False,False
35.5,5367,38,unhealthy,False,True,True,False,True
39.5,5660,102,unhealthy,True,False,True,True,False
37.9,4600,68,unhealthy,False,False,True,False,False
38.4,11251,68,healthy,False,False,False,False,False
40.9,3818,99,unhealthy,True,False,True,True,False
38.1,11534,60,healthy,False,False,False,False,False
41.0,7086,106,unhealthy,True,False,True,True,False
38.5,4410,66,unhealthy,False,False,True,False,False
39.8,5607,104,unhealthy,True,False,True,True,False
38.1,11531,59,healthy,False,False,False,False,False
35.9,7021,35,unhealthy,False,True,True,False,True
36.3,5490,42,unhealthy,False,True,True,False,True
40.9,5473,104,unhealthy,True,False,True,True,False
35.3,5415,33,unhealthy,False,True,True,False,True
38.9,11305,71,healthy,False,False,False,False,False
40.7,5549,107,unhealthy,True,False,True,True,False
39.5,5848,86,unhealthy,True,False,True,True,False
38.9,10425,61,healthy,False,False,False,False,False
39.3,5507,59,unhealthy,True,False,True,False,False
38.8,4790,59,unhealthy,False,False,True,False,False
38.0,12285,71,healthy,False,False,False,False,False
38.6,4912,65,unhealthy,False,False,True,False,False
38.7,11167,64,healthy,False,False,False,False,False
38.5,11039,69,healthy,False,False,False,False,False
38.7,11421,70,healthy,False,False,False,False,False
38.5,10610,69,healthy,False,False,False,False,False
38.6,12056,73,healthy,False,False,False,False,False
38.5,4712,54,unhealthy,False,False,True,False,False
38.2,4171,58,unhealthy,False,False,True,False,False
38.5,4946,71,unhealthy,False,False,True,False,False
36.2,5286,31,unhealthy,False,True,True,False,True
37.9,13165,68,healthy,False,False,False,False,False
35.3,3696,34,unhealthy,False,True,True,False,True
38.3,10249,67,healthy,False,False,False,False,False
38.6,12329,64,healthy,False,False,False,False,False
38.2,4347,61,unhealthy,False,False,True,False,False
40.4,6525,112,unhealthy,True,False,True,True,False
38.1,12167,66,healthy,False,False,False,False,False
38.2,11110,63,healthy,False,False,False,False,False
35.9,6720,31,unhealthy,False,True,True,False,True
38.4,4219,68,unhealthy,False,False,True,False,False
38.6,4748,66,unhealthy,False,False,True,False,False
39.7,6704,97,unhealthy,True,False,True,True,False
38.5,12092,60,healthy,False,False,False,False,False
40.8,6519,98,unhealthy,True,False,True,True,False
38.6,11516,64,healthy,False,False,False,False,False
38.6,11744,72,healthy,False,False,False,False,False
35.4,7765,38,unhealthy,False,True,True,False,True
35.2,8023,39,unhealthy,False,True,True,False,True
38.8,5777,66,unhealthy,False,False,True,False,False
41.0,5451,101,unhealthy,True,False,True,True,False
38.3,9956,63,healthy,False,False,False,False,False
38.4,4550,63,unhealthy,False,False,True,False,False
37.8,10899,62,healthy,False,False,False,False,False
35.5,6688,43,unhealthy,False,True,True,False,True
38.3,5445,66,unhealthy,False,False,True,False,False
38.4,4102,57,unhealthy,False,False,True,False,False
40.5,6623,110,unhealthy,True,False,True,True,False
38.6,12257,62,healthy,False,False,False,False,False
40.6,6191,104,unhealthy,True,False,True,True,False
38.0,12278,61,healthy,False,False,False,False,False
38.3,4139,58,unhealthy,False,False,True,False,False
40.5,6882,96,unhealthy,True,False,True,True,False
40.0,4900,117,unhealthy,True,False,True,True,False
35.1,5066,36,unhealthy,False,True,True,False,True
35.4,5260,37,unhealthy,False,True,True,False,True
38.4,3592,70,unhealthy,False,False,True,False,False
38.4,12397,60,healthy,False,False,False,False,False
40.3,6543,125,unhealthy,True,False,True,True,False
40.5,5832,100,unhealthy,True,False,True,True,False
38.5,5913,71,unhealthy,False,False,True,False,False
39.4,4408,88,unhealthy,True,False,True,True,False
37.6,11267,67,healthy,False,False,False,False,False
38.1,10816,56,healthy,False,False,False,False,False
38.5,11747,58,healthy,False,False,False,False,False
38.4,12799,66,healthy,False,False,False,False,False
37.8,11373,62,healthy,False,False,False,False,False
38.3,10674,67,healthy,False,False,False,False,False
38.0,3045,69,unhealthy,False,False,True,False,False
40.4,6463,106,unhealthy,True,False,True,True,False
38.6,12595,65,healthy,False,False,False,False,False
37.7,6380,60,unhealthy,False,False,True,False,False
40.2,7087,121,unhealthy,True,False,True,True,False
38.3,12439,70,healthy,False,False,False,False,False
38.6,11114,71,healthy,False,False,False,False,False
38.2,10291,68,healthy,False,False,False,False,False
34.7,5638,36,unhealthy,False,True,True,False,True
37.9,10872,64,healthy,False,False,False,False,False
36.2,5919,47,unhealthy,False,True,True,False,False
37.6,2546,65,unhealthy,False,False,True,False,False
38.3,11650,66,healthy,False,False,False,False,False
38.4,4221,63,unhealthy,False,False,True,False,False
38.5,11738,70,healthy,False,False,False,False,False
38.1,11973,63,healthy,False,False,False,False,False
37.8,11124,70,healthy,False,False,False,False,False
40.1,7109,108,unhealthy,True,False,True,True,False
38.1,4347,70,unhealthy,False,False,True,False,False
35.5,6329,32,unhealthy,False,True,True,False,True
38.4,10832,64,healthy,False,False,False,False,False
38.4,12408,66,healthy,False,False,False,False,False
38.2,11798,57,healthy,False,False,False,False,False
38.1,12232,60,healthy,False,False,False,False,False
35.8,6645,35,unhealthy,False,True,True,False,True
41.3,5939,121,unhealthy,True,False,True,True,False
37.7,12830,65,healthy,False,False,False,False,False
38.2,10073,61,healthy,False,False,False,False,False
38.4,11912,59,healthy,False,False,False,False,False
38.5,6309,64,unhealthy,False,False,True,False,False
38.4,5691,59,unhealthy,False,False,True,False,False
34.7,5613,36,unhealthy,False,True,True,False,True
38.3,10790,61,healthy,False,False,False,False,False
41.0,4050,80,unhealthy,True,False,True,False,False
37.8,14493,61,healthy,False,False,False,False,False
38.4,11405,67,healthy,False,False,False,False,False
38.3,10662,64,healthy,False,False,False,False,False
38.7,10153,63,healthy,False,False,False,False,False
38.2,7044,64,unhealthy,False,False,True,False,False
38.6,10242,71,healthy,False,False,False,False,False
35.0,5123,38,unhealthy,False,True,True,False,True
38.2,12623,71,healthy,False,False,False,False,False
38.8,3630,62,unhealthy,False,False,True,False,False
38.1,7212,63,unhealthy,False,False,True,False,False
40.6,5230,99,unhealthy,True,False,True,True,False
41.0,6598,100,unhealthy,True,False,True,True,False
37.8,10857,70,healthy,False,False,False,False,False
37.8,12320,72,healthy,False,False,False,False,False
38.3,9784,66,healthy,False,False,False,False,False
38.2,10512,61,healthy,False,False,False,False,False
37.5,11265,72,healthy,False,False,False,False,False
40.2,6724,94,unhealthy,True,False,True,True,False
38.0,13287,67,healthy,False,False,False,False,False
38.5,10124,63,healthy,False,False,False,False,False
38.7,13686,58,healthy,False,False,False,False,False
38.4,10604,68,healthy,False,False,False,False,False
38.4,13444,66,healthy,False,False,False,False,False
38.4,5449,72,unhealthy,False,False,True,False,False
35.7,6340,35,unhealthy,False,True,True,False,True
35.9,7667,40,unhealthy,False,True,True,False,True
39.9,5384,99,unhealthy,True,False,True,True,False
38.5,12196,70,healthy,False,False,False,False,False
38.5,13144,63,healthy,False,False,False,False,False
38.6,3807,62,unhealthy,False,False,True,False,False
38.5,5029,63,unhealthy,False,False,True,False,False
40.1,6480,101,unhealthy,True,False,True,True,False
38.0,4866,65,unhealthy,False,False,True,False,False
38.0,11642,64,healthy,False,False,False,False,False
39.9,5691,121,unhealthy,True,False,True,True,False
38.2,11736,66,healthy,False,False,False,False,False
40.1,7220,106,unhealthy,True,False,True,True,False
38.1,12711,67,healthy,False,False,False,False,False
38.0,5955,57,unhealthy,False,False,True,False,False
38.5,11429,56,healthy,False,False,False,False,False
35.1,5274,35,unhealthy,False,True,True,False,True
40.8,4868,103,unhealthy,True,False,True,True,False
38.3,11907,58,healthy,False,False,False,False,False
35.3,5949,34,unhealthy,False,True,True,False,True
38.5,10937,61,healthy,False,False,False,False,False
38.2,6150,69,unhealthy,False,False,True,False,False
40.5,5872,107,unhealthy,True,False,True,True,False
38.1,12069,63,healthy,False,False,False,False,False
35.7,6780,33,unhealthy,False,True,True,False,True
38.7,12194,56,healthy,False,False,False,False,False
38.1,10229,67,healthy,False,False,False,False,False
40.9,6567,105,unhealthy,True,False,True,True,False
38.6,13139,63,healthy,False,False,False,False,False
38.4,12954,66,healthy,False,False,False,False,False
39.9,6836,101,unhealthy,True,False,True,True,False
38.6,11488,71,healthy,False,False,False,False,False
37.8,11558,56,healthy,False,False,False,False,False
38.3,4761,73,unhealthy,False,False,True,False,False
38.3,10727,67,healthy,False,False,False,False,False
38.2,10873,75,healthy,False,False,False,False,False
38.6,10693,77,healthy,False,False,False,False,False
37.6,10180,67,healthy,False,False,False,False,False
38.2,11639,82,healthy,False,False,False,False,False
38.4,12622,67,healthy,False,False,False,False,False
38.4,10326,68,healthy,False,False,False,False,False
34.7,6519,35,unhealthy,False,True,True,False,True
38.1,11200,75,healthy,False,False,False,False,False
34.9,6187,32,unhealthy,False,True,True,False,True
41.1,5645,118,unhealthy,True,False,True,True,False
35.2,5402,36,unhealthy,False,True,True,False,True
38.7,12560,68,healthy,False,False,False,False,False
37.9,10188,69,healthy,False,False,False,False,False
41.1,5476,105,unhealthy,True,False,True,True,False
38.4,10455,62,healthy,False,False,False,False,False
38.3,10321,65,healthy,False,False,False,False,False
40.5,7253,115,unhealthy,True,False,True,True,False
39.9,5155,91,unhealthy,True,False,True,True,False
37.9,11316,68,healthy,False,False,False,False,False
40.7,7353,89,unhealthy,True,False,True,True,False
38.3,11163,70,healthy,False,False,False,False,False
40.1,4510,109,unhealthy,True,False,True,True,False
38.9,3770,69,unhealthy,False,False,True,False,False
38.5,11939,64,healthy,False,False,False,False,False
35.8,4576,34,unhealthy,False,True,True,False,True
38.0,11304,62,healthy,False,False,False,False,False
38.7,3939,76,unhealthy,False,False,True,False,False
36.1,6921,35,unhealthy,False,True,True,False,True
36.4,6942,32,unhealthy,False,True,True,False,True
38.3,11046,73,healthy,False,False,False,False,False
41.0,5150,81,unhealthy,True,False,True,False,False
38.9,4669,66,unhealthy,False,False,True,False,False
35.5,6953,34,unhealthy,False,True,True,False,True
38.2,11442,60,healthy,False,False,False,False,False
38.1,9276,67,healthy,False,False,False,False,False
38.9,6097,69,unhealthy,False,False,True,False,False
38.2,11608,70,healthy,False,False,False,False,False
38.7,11004,61,healthy,False,False,False,False,False
40.3,7241,102,unhealthy,True,False,True,True,False
35.0,6864,36,unhealthy,False,True,True,False,True
35.2,6445,36,unhealthy,False,True,True,False,True
38.4,10444,68,healthy,False,False,False,False,False
38.7,5579,70,unhealthy,False,False,True,False,False
38.0,11284,64,healthy,False,False,False,False,False
38.3,10302,67,healthy,False,False,False,False,False
38.3,3070,71,unhealthy,False,False,True,False,False
39.5,4714,107,unhealthy,True,False,True,True,False
40.8,5995,110,unhealthy,True,False,True,True,False
38.2,9376,65,healthy,False,False,False,False,False
37.9,11523,64,healthy,False,False,False,False,False
38.6,10503,68,healthy,False,False,False,False,False
38.6,12021,67,healthy,False,False,False,False,False
38.9,11839,64,healthy,False,False,False,False,False
38.5,12764,71,healthy,False,False,False,False,False
38.5,12061,74,healthy,False,False,False,False,False
39.8,5734,112,unhealthy,True,False,True,True,False
35.6,5456,37,unhealthy,False,True,True,False,True
37.5,10892,75,healthy,False,False,False,False,False
38.1,11246,64,healthy,False,False,False,False,False
38.0,5342,60,unhealthy,False,False,True,False,False
35.6,5004,33,unhealthy,False,True,True,False,True
38.5,11096,58,healthy,False,False,False,False,False
35.4,5857,39,unhealthy,False,True,True,False,True
40.9,6018,95,unhealthy,True,False,True,True,False
39.0,4688,112,unhealthy,False,False,True,True,False
38.2,6065,68,unhealthy,False,False,True,False,False
38.3,4993,71,unhealthy,False,False,True,False,False
38.3,11432,62,healthy,False,False,False,False,False
38.1,4836,59,unhealthy,False,False,True,False,False
39.0,4475,62,unhealthy,False,False,True,False,False
38.3,11058,67,healthy,False,False,False,False,False
38.0,10847,61,healthy,False,False,False,False,False
35.2,5648,36,unhealthy,False,True,True,False,True
38.5,4200,73,unhealthy,False,False,True,False,False
38.7,11503,64,healthy,False,False,False,False,False
38.3,11985,66,healthy,False,False,False,False,False
38.8,11312,56,healthy,False,False,False,False,False
38.6,11286,58,healthy,False,False,False,False,False
40.6,4498,102,unhealthy,True,False,True,True,False
35.0,7552,41,unhealthy,False,True,True,False,True
38.4,10401,64,healthy,False,False,False,False,False
37.7,11734,71,healthy,False,False,False,False,False
37.9,11444,75,healthy,False,False,False,False,False
34.5,6029,41,unhealthy,False,True,True,False,True
35.7,4594,38,unhealthy,False,True,True,False,True
36.2,7006,30,unhealthy,False,True,True,False,True
38.4,5477,70,unhealthy,False,False,True,False,False
38.7,4785,62,unhealthy,False,False,True,False,False
38.5,10382,63,healthy,False,False,False,False,False
38.1,10952,69,healthy,False,False,False,False,False
35.7,6734,37,unhealthy,False,True,True,False,True
38.2,3699,72,unhealthy,False,False,True,False,False
41.1,5778,92,unhealthy,True,False,True,True,False
37.8,11981,66,healthy,False,False,False,False,False
38.2,11644,54,healthy,False,False,False,False,False
41.2,5196,95,unhealthy,True,False,True,True,False
40.1,6827,124,unhealthy,True,False,True,True,False
38.4,11890,71,healthy,False,False,False,False,False
41.6,5993,106,unhealthy,True,False,True,True,False
38.4,4262,66,unhealthy,False,False,True,False,False
42.7,7112,99,unhealthy,True,False,True,True,False
38.0,12727,68,healthy,False,False,False,False,False
38.1,11461,60,healthy,False,False,False,False,False
35.1,6779,31,unhealthy,False,True,True,False,True
35.6,5768,36,unhealthy,False,True,True,False,True
38.2,13317,62,healthy,False,False,False,False,False
38.8,12188,66,healthy,False,False,False,False,False
39.2,11559,67,healthy,True,False,False,False,False
37.8,5833,68,unhealthy,False,False,True,False,False
38.3,11680,65,healthy,False,False,False,False,False
35.3,3977,41,unhealthy,False,True,True,False,True
38.0,6711,62,unhealthy,False,False,True,False,False
37.9,9435,67,healthy,False,False,False,False,False
40.2,5290,96,unhealthy,True,False,True,True,False
39.0,4404,67,unhealthy,False,False,True,False,False
38.3,4693,59,unhealthy,False,False,True,False,False
38.7,3801,60,unhealthy,False,False,True,False,False
38.3,10609,65,healthy,False,False,False,False,False
38.6,13998,65,healthy,False,False,False,False,False
38.3,10745,61,healthy,False,False,False,False,False
38.4,5675,62,unhealthy,False,False,True,False,False
38.7,6980,63,unhealthy,False,False,True,False,False
35.5,5616,35,unhealthy,False,True,True,False,True
37.9,11047,60,healthy,False,False,False,False,False
38.5,11970,59,healthy,False,False,False,False,False
41.0,6196,91,unhealthy,True,False,True,True,False
38.8,6748,75,unhealthy,False,False,True,False,False
38.1,11683,61,healthy,False,False,False,False,False
35.9,6991,37,unhealthy,False,True,True,False,True
38.2,10366,59,healthy,False,False,False,False,False
41.0,8449,118,unhealthy,True,False,True,True,False
37.8,10496,63,healthy,False,False,False,False,False
38.5,11719,58,healthy,False,False,False,False,False
38.3,11148,58,healthy,False,False,False,False,False
38.1,10707,74,healthy,False,False,False,False,False
38.6,11325,68,healthy,False,False,False,False,False
38.4,11929,70,healthy,False,False,False,False,False
38.8,5176,64,unhealthy,False,False,True,False,False
41.1,6595,103,unhealthy,True,False,True,True,False
38.8,11692,62,healthy,False,False,False,False,False
38.0,12678,59,healthy,False,False,False,False,False
38.3,5599,58,unhealthy,False,False,True,False,False
37.8,11447,68,healthy,False,False,False,False,False
38.2,11521,71,healthy,False,False,False,False,False
38.3,10909,78,healthy,False,False,False,False,False
38.7,2093,64,unhealthy,False,False,True,False,False
38.2,11366,64,healthy,False,False,False,False,False
38.8,12681,60,healthy,False,False,False,False,False
36.0,6780,35,unhealthy,False,True,True,False,True
38.1,10024,64,healthy,False,False,False,False,False
38.1,12040,63,healthy,False,False,False,False,False
40.0,5771,116,unhealthy,True,False,True,True,False
40.3,6116,105,unhealthy,True,False,True,True,False
38.7,9428,61,healthy,False,False,False,False,False
35.8,4394,33,unhealthy,False,True,True,False,True
38.5,11623,71,healthy,False,False,False,False,False
35.7,7173,34,unhealthy,False,True,True,False,True
35.9,4624,29,unhealthy,False,True,True,False,True
38.2,5803,69,unhealthy,False,False,True,False,False
34.5,6110,26,unhealthy,False,True,True,False,True
34.4,7616,37,unhealthy,False,True,True,False,True
41.0,6644,96,unhealthy,True,False,True,True,False
35.7,6094,37,unhealthy,False,True,True,False,True
38.9,4562,65,unhealthy,False,False,True,False,False
38.1,10886,71,healthy,False,False,False,False,False
35.0,6982,42,unhealthy,False,True,True,False,True
38.3,11617,66,healthy,False,False,False,False,False
38.7,4312,72,unhealthy,False,False,True,False,False
38.1,10021,56,healthy,False,False,False,False,False
38.0,10949,59,healthy,False,False,False,False,False
38.5,12088,62,healthy,False,False,False,False,False
35.5,5149,31,unhealthy,False,True,True,False,True
